,Date,Phase,Well,Volume,C_Dilution,C_Count,C_pfu/mL,C_pfu/well,C_log(pfu/mL),C_log(pfu/well),C_log(enrichment),K_Dilution,K_Count,K_pfu/mL,K_pfu/well,K_log(pfu/mL),K_log(pfu/well),K_log(enrichment),log(carb-kan/ml),log(carb-kan/well),log(enrichment),io,kind,fraction,r,selection,selection_name,library
2,2020-10-28,R1o,1a,0.9,-1,91.0,1001000.0,900900.0,6.000434077479318,5.9546765869186435,,-1.0,4.0,44000.0,39600.0,4.643452676486188,4.597695185925512,,1.3569814009931305,1.3569814009931314,,o,?,?,1,1,PAK flagellin,alpaca
3,2020-10-28,R1o,2a,0.9,-3,36.0,39600000.0,35640000.0,7.597695185925512,7.551937695364837,,-1.0,41.0,451000.0,405900.0,5.654176541877961,5.608419051317285,,1.9435186440475514,1.9435186440475523,,o,?,?,1,2,PAO1 flagellin,alpaca
4,2020-10-28,R1o,3a,0.9,-2,66.0,7260000.0,6534000.0,6.860936620700094,6.815179130139419,,-1.0,24.0,264000.0,237600.0,5.421603926869831,5.375846436309156,,1.4393326938302629,1.4393326938302629,,o,?,?,1,3,PA103 pilin,alpaca
5,2020-10-28,R1o,4a,0.9,-2,23.0,2530000.0,2277000.0,6.4031205211758175,6.357363030615143,,-1.0,2.0,22000.0,19800.0,4.342422680822207,4.296665190261531,,2.060697840353611,2.060697840353612,,o,?,?,1,4,PAK pilin,alpaca
6,2020-10-28,R1o,1b,0.9,-1,85.0,935000.0,841500.0,5.970811610872518,5.9250541203118425,,-2.0,27.0,2970000.0,2673000.0,6.472756449317212,6.4269989587565375,,-0.5019448384446941,-0.501944838444695,,o,?,?,1,1,PAK flagellin,alpaca
7,2020-10-28,R1o,2b,0.9,-3,88.0,96800000.0,87120000.0,7.985875357308394,7.940117866747719,,-1.0,1.0,11000.0,9900.0,4.041392685158225,3.99563519459755,,3.9444826721501682,3.9444826721501687,,o,?,?,1,2,PAO1 flagellin,alpaca
8,2020-10-28,R1o,3b,0.9,-2,62.0,6820000.0,6138000.0,6.833784374656479,6.788026884095804,,-1.0,17.0,187000.0,168300.0,5.271841606536499,5.226084115975824,,1.5619427681199802,1.5619427681199802,,o,?,?,1,3,PA103 pilin,alpaca
9,2020-10-28,R1o,4b,0.9,-2,83.0,9130000.0,8217000.0,6.960470777534299,6.914713286973623,,-1.0,14.0,154000.0,138600.0,5.187520720836463,5.141763230275788,,1.7729500566978365,1.7729500566978356,,o,?,?,1,4,PAK pilin,alpaca
10,2020-10-28,R1o,1+,1.8,-1,78.0,858000.0,1544400.0,5.933487287848705,6.188759792952012,,-1.0,3.0,33000.0,59400.0,4.518513939877887,4.7737864449811935,,1.4149733479708182,1.4149733479708182,,o,+,+,1,1,PAK flagellin,alpaca
11,2020-10-28,R1o,2+,1.8,-3,71.0,78100000.0,140580000.0,7.8926510338773,8.147923538980606,,-2.0,24.0,2640000.0,4752000.0,6.421603926869831,6.676876431973137,,1.471047107007469,1.471047107007469,,o,+,+,1,2,PAO1 flagellin,alpaca
12,2020-10-28,R1o,3+,1.8,-2,52.0,5720000.0,10296000.0,6.757396028793024,7.01266853389633,,-1.0,4.0,44000.0,79200.0,4.643452676486188,4.898725181589493,,2.113943352306836,2.113943352306837,,o,+,+,1,3,PA103 pilin,alpaca
13,2020-10-28,R1o,4+,1.8,-2,30.0,3300000.0,5940000.0,6.518513939877887,6.7737864449811935,,-1.0,4.0,44000.0,79200.0,4.643452676486188,4.898725181589493,,1.8750612633916992,1.8750612633917,,o,+,+,1,4,PAK pilin,alpaca
14,2020-10-30,R2i,1,1.8,-8,65.440697,7198476670000.0,12957258006000.0,12.857240601457828,13.112513106561135,,,,,,,,,,,,i,?,i,2,1,PAK flagellin,alpaca
15,2020-10-30,R2i,2,1.8,-8,35.788803,3936768330000.0,7086182994000.0,12.595139858284517,12.850412363387823,,,,,,,,,,,,i,?,i,2,2,PAO1 flagellin,alpaca
16,2020-10-30,R2i,3,1.8,-8,31.896572,3508622920000.0,6315521256000.0,12.545136696068653,12.800409201171957,,,,,,,,,,,,i,?,i,2,3,PA103 pilin,alpaca
17,2020-10-30,R2i,4,1.8,-8,46.599552,5125950720000.0,9226711296000.0,12.709774426636569,12.965046931739876,,,,,,,,,,,,i,?,i,2,4,PAK pilin,alpaca
18,2020-10-30,R2o,1+,1.8,-3,29.403084,32343392.4,58218106.32,7.509785569785988,7.765058074889295,,,,,,,,,,,-0.19821203971798962,o,+,+,2,1,PAK flagellin,alpaca
19,2020-10-30,R2o,2+,1.8,-3,45.755775,50331352.5,90596434.5,7.701838600879847,7.957111105983152,,,,,,,,,,,-0.08558702311913446,o,+,+,2,2,PAO1 flagellin,alpaca
20,2020-10-30,R2o,3+,1.8,-3,29.767649,32744413.9,58939945.019999996,7.51513722129486,7.7704097263981655,,,,,,,,,,,-1.031099727008443,o,+,+,2,3,PA103 pilin,alpaca
21,2020-10-30,R2o,4+,1.8,-2,53.976368,5937400.48,10687320.864000002,6.773596343247818,7.028868848351124,,,,,,,,,,,-1.1453957937447212,o,+,+,2,4,PAK pilin,alpaca
22,2020-10-30,R2o,1-,1.8,-3,46.40929,51050219.0,91890394.2,7.707997609503978,7.963270114607283,,,,,,,,,,,,o,-,-,2,1,PAK flagellin,alpaca
23,2020-10-30,R2o,2-,1.8,-3,55.722801,61295081.099999994,110331145.97999999,7.787425623998981,8.042698129102288,,,,,,,,,,,,o,-,-,2,2,PAO1 flagellin,alpaca
24,2020-10-30,R2o,3-,1.8,-4,31.977482,351752302.0,633154143.6,8.546236948303303,8.80150945340661,,,,,,,,,,,,o,-,-,2,3,PA103 pilin,alpaca
25,2020-10-30,R2o,4-,1.8,-3,75.439613,82983574.3,149370433.74,7.918992136992539,8.174264642095846,,,,,,,,,,,,o,-,-,2,4,PAK pilin,alpaca
26,2020-10-30,R2i,5,1.8,-8,31.242777,3436705470000.0,6186069846000.0,12.53614231414632,12.791414819249626,,,,,,,,,,,,i,?,i,2,5,PAO1 Pel/Psl,alpaca
27,2020-10-30,R2i,6,1.8,-8,32.493198,3574251780000.0,6433653204000.0,12.553185142129678,12.808457647232983,,,,,,,,,,,,i,?,i,2,6,PAO1 efflux pumps,alpaca
28,2020-10-30,R2i,7,1.8,-8,37.184772,4090324920000.0005,7362584856000.001,12.611757808094934,12.86703031319824,,,,,,,,,,,,i,?,i,2,7,Pa mix liquid,alpaca
29,2020-10-30,R2i,8,1.8,-8,39.375099,4331260890000.0,7796269602000.0,12.636614343894921,12.891886848998228,,,,,,,,,,,,i,?,i,2,8,Pa mix scrape,alpaca
30,2020-10-30,R2o,5+,1.8,-3,22.489752,24738727.2,44529708.96,7.39337735154871,7.648649856652017,,,,,,,,,,,-0.38107488707040815,o,+,+,2,5,PAO1 Pel/Psl,alpaca
