,Round,In_Out,Plate,Sample,Vol,C_Dilution,C_Count,C_pfu/mL,C_pfu/well,C_log(pfu/mL),C_log(pfu/well),C_log(change),C_log(enrichment),K_Dilution,K_Count,K_pfu/mL,K_pfu/well,K_log(pfu/mL),K_log(pfu/well),K_log(enrichment),log(carb-kan/ml),log(carb-kan/well),kind,fraction,r,plate_n,sample_full
0,R1,in,1+,input,0.2,-8.0,500.0,50000000000000.0,10000000000000.0,13.718504805698814,13.0,,,-7.0,45.0,450000000000.0,90000000000.0,11.653212513775344,10.954242509439325,,2.045757490560675,2.045757490560675,+,i,1,1,1.input
1,R1,out,1+,A2,0.2,-5.0,79.0,7900000000.0,1580000000.0,9.897627091290442,9.198657086954423,3.801342913045577,0.08471373464758614,-3.0,41.0,41000000.0,8200000.0,7.6127838567197355,6.913813852383717,,2.2848432345707064,2.2848432345707064,+,+,1,1,1.A2
2,R1,out,1+,A3,0.2,-5.0,59.0,5900000000.0,1180000000.0,9.770852011642145,9.071882007306126,3.928117992693874,-0.7205096821921284,-3.0,22.0,22000000.0,4400000.0,7.342422680822207,6.643452676486188,,2.428429330819938,2.428429330819938,+,+,1,1,1.A3
3,R1,out,1+,A4,0.2,-5.0,77.0,7700000000.0,1540000000.0,9.886490725172482,9.187520720836464,3.8124792791635365,0.22373289349090797,-3.0,52.0,52000000.0,10400000.0,7.7160033436347994,7.017033339298781,,2.170487381537683,2.170487381537683,+,+,1,1,1.A4
4,R1,out,1+,A5,0.2,-5.0,63.0,6300000000.0,1260000000.0,9.799340549453582,9.100370545117563,3.8996294548824366,0.08333720581878268,-3.0,51.0,51000000.0,10200000.0,7.707570176097937,7.008600171761918,,2.0917703733556454,2.0917703733556454,+,+,1,1,1.A5
5,R1,out,1+,A6,0.2,-5.0,57.0,5700000000.0,1140000000.0,9.755874855672491,9.056904851336473,3.9430951486635273,-0.01497715596965321,-3.0,55.0,55000000.0,11000000.0,7.740362689494244,7.041392685158225,,2.0155121661782474,2.0155121661782474,+,+,1,1,1.A6
6,R1,out,1+,A7,0.2,-5.0,67.0,6700000000.0,1340000000.0,9.826074802700827,9.127104798364808,3.872895201635192,,-3.0,51.0,51000000.0,10200000.0,7.707570176097937,7.008600171761918,,2.11850462660289,2.11850462660289,+,+,1,1,1.A7
7,R1,out,1+,A8,0.2,-5.0,85.0,8500000000.0,1700000000.0,9.929418925714293,9.230448921378274,3.769551078621726,,-3.0,66.0,66000000.0,13200000.0,7.819543935541868,7.12057393120585,,2.1098749901724245,2.1098749901724245,+,+,1,1,1.A8
8,R1,out,1+,A9,0.2,-5.0,63.0,6300000000.0,1260000000.0,9.799340549453582,9.100370545117563,3.8996294548824366,,-3.0,47.0,47000000.0,9400000.0,7.672097857935717,6.973127853599698,,2.127242691517865,2.127242691517865,+,+,1,1,1.A9
9,R1,out,1+,A10,0.2,-5.0,97.0,9700000000.0,1940000000.0,9.986771734266245,9.287801729930226,3.7121982700697735,,-3.0,62.0,62000000.0,12400000.0,7.7923916894982534,7.093421685162235,,2.1943800447679918,2.1943800447679918,+,+,1,1,1.A10
