,Date,Titer_Plate,Round,In_Out,Plate,Sample,Vol,C_Dilution,C_Count,C_pfu/mL,C_pfu/well,C_log(pfu/mL),C_log(pfu/well),C_log(change),Group_mean(log_pfu/well),Group_std(log_pfu/well),Notes,C_log(enrichment),1x_input_vs_1/100x_input,K_Dilution,K_Count,K_pfu/mL,K_pfu/well,K_log(pfu/mL),K_log(pfu/well),K_log(enrichment),log(carb-kan/ml),log(carb-kan/well),kind,fraction,r,sample_full
0,2022-10-15,1.0,R5,in,1+,A1,0.6,-8,133.38353,13338353000000.0,8003011800000.0,13.125102206854075,12.903253457237717,,13.111909824200104,0.027111413122443206,,,,-8.0,100.0,10000000000000.0,6000000000000.0,13.0,12.778151250383644,,0.12510220685407525,0.12510220685407347,+,i,5,A1
1,,,R5,in,1+,A2,0.6,-8,134.832016,13483201600000.002,8089920960000.001,13.129793028113236,12.907944278496878,,,,,,,,,,,,,,,,+,i,5,A2
2,,,R5,in,1+,A3,0.6,-8,124.114471,12411447100000.0,7446868260000.0,13.093822420572506,12.87197367095615,,,,,,,,,,,,,,,,+,i,5,A3
3,,,R5,in,1+,A4,0.6,-8,124.551857,12455185700000.0,7473111420000.0,13.095350207013759,12.873501457397403,,,,,,,,,,,,,,,,+,i,5,A4
4,,,R5,in,1+,A5,0.6,-8,119.625549,11962554900000.0,7177532940000.0,13.077823943906099,12.855975194289742,,,,,,,,,,,,,,,,+,i,5,A5
5,,,R5,in,1+,A6,0.6,-8,141.113037,14111303700000.0,8466782220000.0,13.149567138740952,12.927718389124596,,,,,,,,,,,,,,,,+,i,5,A6
6,,,R5,out,1+,A1,0.5,-4,24.595459,245954590.00000003,122977295.00000001,8.39085493176655,8.089824936102568,4.813428521135149,8.583864723899886,0.6967933117069468,,,,,,,,,,,,,+,+,5,A1
7,,,R5,out,1+,A2,0.5,-3,59.92498,59924980.0,29962490.0,7.777607897759657,7.476577902095676,5.4313663764012015,,,,,,,,,,,,,,,+,+,5,A2
8,,,R5,out,1+,A3,0.5,-4,48.225204,482252040.0,241126020.0,8.68327407345199,8.382244077788009,4.489729593168141,,,,,,,,,,,,,,,+,+,5,A3
9,,,R5,out,1+,A4,0.5,-4,13.414162,134141619.99999999,67070809.99999999,8.127563546918994,7.826533551255012,5.046967906142391,,,,,,,,,,,,,,,+,+,5,A4
10,,,R5,out,1+,A5,0.5,-4,51.644508,516445080.0,258222540.0,8.713024144401407,8.411994148737426,4.4439810455523165,,,,,,,,,,,,,,,+,+,5,A5
11,,,R5,out,1+,A6,0.5,-5,64.693962,6469396200.0,3234698100.0,9.810863749100719,9.509833753436737,3.4178846356878587,,,,,,,,,,,,,,,+,+,5,A6
12,,2.0,R5,in,1+,A7,0.6,-8,81.987213,8198721300000.0,4919232780000.0,12.913746123644996,12.69189737402864,,12.915068449343783,0.12514759507077328,,,,,,,,,,,,,+,i,5,A7
13,,,R5,in,1+,A8,0.6,-8,107.617531,10761753100000.0,6457051860000.0,13.031883024084978,12.810034274468622,,,,,,,,,,,,,,,,+,i,5,A8
14,,,R5,in,1+,A9,0.6,-8,106.67366,10667366000000.0,6400419600000.0,13.02805719609886,12.806208446482502,,,,,,,,,,,,,,,,+,i,5,A9
15,,,R5,in,1+,A10,0.6,-8,54.930477,5493047700000.0,3295828620000.0,12.739813370322441,12.517964620706085,,,,,,,,,,,,,,,,+,i,5,A10
16,,,R5,in,1+,A11,0.6,-8,61.524055,6152405500000.0,3691443300000.0,12.78904495172978,12.567196202113424,,,,,,,,,,,,,,,,+,i,5,A11
17,,,R5,in,1+,A12,0.6,-8,97.24472,9724472000000.0,5834683200000.0,12.987866030181646,12.76601728056529,,,,,,,,,,,,,,,,+,i,5,A12
18,,,R5,out,1+,A7,0.5,-3,42.319,42319000.0,21159500.0,7.626535396748938,7.325505401084957,5.366391972943683,7.858632277641701,0.4685773525302028,,,,,,,,,,,,,+,+,5,A7
19,,,R5,out,1+,A8,0.5,-3,19.637877,19637877.0,9818938.5,7.293094535537429,6.992064539873447,5.817969734595175,,,,,,,,,,,,,,,+,+,5,A8
20,,,R5,out,1+,A9,0.5,-4,19.777725,197777250.0,98888625.0,8.296176333936119,7.9951463382721375,4.811062108210365,,,,,,,,,,,,,,,+,+,5,A9
21,,,R5,out,1+,A10,0.5,-3,43.40284,43402840.0,21701420.0,7.637518147852949,7.336488152188967,5.1814764685171175,,,,,,,,,,,,,,,+,+,5,A10
22,,,R5,out,1+,A11,0.5,-3,56.551445,56551445.0,28275722.5,7.752443706476481,7.4514137108125,5.115782491300924,,,,,,,,,,,,,,,+,+,5,A11
23,,,R5,out,1+,A12,0.5,-4,35.158112,351581120.0,175790560.0,8.546025545298289,8.244995549634307,4.521021730930983,,,,,,,,,,,,,,,+,+,5,A12
