,well,clone,bait_antigen,A450_1,A450_2,plate,selection,selection_name
0,A1,1,-,0.053199999034404755,0.06939999759197235,1,1+,PAK flagella
1,A1,1,-,0.05130000039935112,0.06369999796152115,2,2+,PAO1 flagella
2,A1,1,-,0.05590000003576279,0.06480000168085098,4,4+,PAK pili
3,A10,8,+,1.1619000434875488,1.205899953842163,1,1+,PAK flagella
4,A10,8,+,1.5369000434875488,1.4886000156402588,2,2+,PAO1 flagella
5,A10,8,+,0.29600000381469727,0.13230000436306,4,4+,PAK pili
6,A11,8,+,1.2864999771118164,1.2563999891281128,1,1+,PAK flagella
7,A11,8,+,1.5424000024795532,1.8877999782562256,2,2+,PAO1 flagella
8,A11,8,+,0.36230000853538513,0.14339999854564667,4,4+,PAK pili
9,A12,8,+,1.34089994430542,1.1397000551223755,1,1+,PAK flagella
10,A12,8,+,1.6470999717712402,1.5264999866485596,2,2+,PAO1 flagella
11,A12,8,+,0.3840999901294708,0.13860000669956207,4,4+,PAK pili
12,A2,1,-,0.052400000393390656,0.06199999898672104,1,1+,PAK flagella
13,A2,1,-,0.05550000071525574,0.062300000339746475,2,2+,PAO1 flagella
14,A2,1,-,0.0575999990105629,0.06629999727010727,4,4+,PAK pili
15,A3,1,-,0.05290000140666962,0.06499999761581421,1,1+,PAK flagella
16,A3,1,-,0.054499998688697815,0.0689999982714653,2,2+,PAO1 flagella
17,A3,1,-,0.055799998342990875,0.06830000132322311,4,4+,PAK pili
18,A4,1,+,1.419700026512146,1.2942999601364136,1,1+,PAK flagella
19,A4,1,+,0.09629999846220016,0.17790000140666962,2,2+,PAO1 flagella
20,A4,1,+,1.1988999843597412,1.1136000156402588,4,4+,PAK pili
21,A5,1,+,1.2871999740600586,1.2735999822616577,1,1+,PAK flagella
22,A5,1,+,0.10729999840259552,0.16179999709129333,2,2+,PAO1 flagella
23,A5,1,+,1.1719000339508057,1.1700999736785889,4,4+,PAK pili
24,A6,1,+,1.2188999652862549,1.1864999532699585,1,1+,PAK flagella
25,A6,1,+,0.11649999767541885,0.1607999950647354,2,2+,PAO1 flagella
26,A6,1,+,1.188599944114685,1.163599967956543,4,4+,PAK pili
27,A7,8,-,0.05130000039935112,0.06610000133514404,1,1+,PAK flagella
28,A7,8,-,0.05640000104904175,0.06279999762773514,2,2+,PAO1 flagella
29,A7,8,-,0.9840999841690063,0.43549999594688416,4,4+,PAK pili
30,A8,8,-,0.05119999870657921,0.06459999829530716,1,1+,PAK flagella
31,A8,8,-,0.05480000004172325,0.06300000101327896,2,2+,PAO1 flagella
32,A8,8,-,0.9916999936103821,0.37540000677108765,4,4+,PAK pili
33,A9,8,-,0.06920000165700912,0.06390000134706497,1,1+,PAK flagella
34,A9,8,-,0.0568000003695488,0.07240000367164612,2,2+,PAO1 flagella
35,A9,8,-,1.0091999769210815,0.3986000120639801,4,4+,PAK pili
36,B1,2,-,0.057100001722574234,0.07069999724626541,1,1+,PAK flagella
37,B1,2,-,0.0544000007212162,0.06549999862909317,2,2+,PAO1 flagella
38,B1,2,-,0.06109999865293503,0.06560000032186508,4,4+,PAK pili
39,B10,9,+,1.118299961090088,1.1562999486923218,1,1+,PAK flagella
40,B10,9,+,0.8658999800682068,1.6374000310897827,2,2+,PAO1 flagella
41,B10,9,+,0.0560000017285347,0.05979999899864197,4,4+,PAK pili
42,B11,9,+,1.219599962234497,1.136199951171875,1,1+,PAK flagella
43,B11,9,+,0.9047999978065491,1.621999979019165,2,2+,PAO1 flagella
44,B11,9,+,0.060600001364946365,0.060600001364946365,4,4+,PAK pili
45,B12,9,+,1.3598999977111816,1.1411999464035034,1,1+,PAK flagella
46,B12,9,+,0.9348000288009644,1.5981999635696411,2,2+,PAO1 flagella
47,B12,9,+,0.055799998342990875,0.05860000103712082,4,4+,PAK pili
48,B2,2,-,0.05550000071525574,0.059700001031160355,1,1+,PAK flagella
49,B2,2,-,0.05810000002384186,0.062199998646974564,2,2+,PAO1 flagella
50,B2,2,-,0.06040000170469284,0.0649000033736229,4,4+,PAK pili
51,B3,2,-,0.054999999701976776,0.05820000171661377,1,1+,PAK flagella
52,B3,2,-,0.05350000038743019,0.062199998646974564,2,2+,PAO1 flagella
53,B3,2,-,0.061500001698732376,0.06369999796152115,4,4+,PAK pili
54,B4,2,+,1.3796000480651855,1.3357000350952148,1,1+,PAK flagella
55,B4,2,+,1.5288000106811523,1.6140999794006348,2,2+,PAO1 flagella
56,B4,2,+,1.954300045967102,1.0735000371932983,4,4+,PAK pili
57,B5,2,+,1.3335000276565552,1.2386000156402588,1,1+,PAK flagella
58,B5,2,+,1.7416000366210938,1.302299976348877,2,2+,PAO1 flagella
59,B5,2,+,1.986299991607666,1.0643999576568604,4,4+,PAK pili
60,B6,2,+,1.2976000308990479,1.2933000326156616,1,1+,PAK flagella
61,B6,2,+,1.6601999998092651,1.5585999488830566,2,2+,PAO1 flagella
62,B6,2,+,1.986899971961975,1.0807000398635864,4,4+,PAK pili
63,B7,9,-,0.05889999866485596,0.05689999833703041,1,1+,PAK flagella
64,B7,9,-,0.052799999713897705,0.06480000168085098,2,2+,PAO1 flagella
65,B7,9,-,0.06080000102519989,0.06069999933242798,4,4+,PAK pili
66,B8,9,-,0.05460000038146973,0.05649999901652336,1,1+,PAK flagella
67,B8,9,-,0.05480000004172325,0.0640999972820282,2,2+,PAO1 flagella
68,B8,9,-,0.05689999833703041,0.06080000102519989,4,4+,PAK pili
69,B9,9,-,0.05209999904036522,0.05640000104904175,1,1+,PAK flagella
70,B9,9,-,0.0544000007212162,0.0697999969124794,2,2+,PAO1 flagella
71,B9,9,-,0.05810000002384186,0.06069999933242798,4,4+,PAK pili
72,C1,3,-,0.053199999034404755,0.06939999759197235,1,1+,PAK flagella
73,C1,3,-,0.054099999368190765,0.061799999326467514,2,2+,PAO1 flagella
74,C1,3,-,0.06030000001192093,0.06520000100135803,4,4+,PAK pili
75,C10,10,+,1.1933000087738037,1.25600004196167,1,1+,PAK flagella
76,C10,10,+,1.7135000228881836,1.5813000202178955,2,2+,PAO1 flagella
77,C10,10,+,0.13650000095367432,0.11599999666213989,4,4+,PAK pili
78,C11,10,+,1.2555999755859375,1.2204999923706055,1,1+,PAK flagella
79,C11,10,+,1.7577999830245972,1.5264999866485596,2,2+,PAO1 flagella
80,C11,10,+,0.1379999965429306,0.1136000007390976,4,4+,PAK pili
81,C12,10,+,1.368899941444397,1.2319999933242798,1,1+,PAK flagella
82,C12,10,+,1.8351999521255493,1.3739999532699585,2,2+,PAO1 flagella
83,C12,10,+,0.1590999960899353,0.11270000040531158,4,4+,PAK pili
84,C2,3,-,0.054499998688697815,0.05829999968409538,1,1+,PAK flagella
85,C2,3,-,0.05460000038146973,0.06310000270605087,2,2+,PAO1 flagella
86,C2,3,-,0.06069999933242798,0.06350000202655792,4,4+,PAK pili
87,C3,3,-,0.05380000174045563,0.05849999934434891,1,1+,PAK flagella
88,C3,3,-,0.05290000140666962,0.0617000013589859,2,2+,PAO1 flagella
89,C3,3,-,0.05900000035762787,0.06379999965429306,4,4+,PAK pili
90,C4,3,+,1.4395999908447266,1.361199975013733,1,1+,PAK flagella
