,well,selection,growth,clone,bait_antigen,A450,method,antigen,date,replicate,selection_name
9,A1,4+,plate,no 1°,-,0.062300000339746475,2h-MeOH,Pili,2020-08-28,0.0,PAK pili
13,A1,1+,liquid,no 1°,-,0.06679999828338623,2h-MeOH,Flagella,2020-08-28,,PAK flagella
24,A10,4+,liquid,no 1°,+,0.059300001710653305,2h-MeOH,Pili,2020-08-28,0.0,PAK pili
28,A10,2+,liquid,no 1°,+,0.06700000166893005,2h-MeOH,Flagella,2020-08-28,,PAO1 flagella
39,A11,4+,liquid,no 1°,+,0.06129999831318855,2h-MeOH,Pili,2020-08-28,1.0,PAK pili
43,A11,2+,liquid,no 1°,+,0.0681999996304512,2h-MeOH,Flagella,2020-08-28,,PAO1 flagella
54,A12,4+,liquid,no 1°,+,0.05900000035762787,2h-MeOH,Pili,2020-08-28,2.0,PAK pili
58,A12,2+,liquid,no 1°,+,0.06589999794960022,2h-MeOH,Flagella,2020-08-28,,PAO1 flagella
69,A2,4+,plate,no 1°,-,0.062199998646974564,2h-MeOH,Pili,2020-08-28,1.0,PAK pili
73,A2,1+,liquid,no 1°,-,0.06199999898672104,2h-MeOH,Flagella,2020-08-28,,PAK flagella
84,A3,4+,plate,no 1°,-,0.07699999958276749,2h-MeOH,Pili,2020-08-28,2.0,PAK pili
88,A3,1+,liquid,no 1°,-,0.066600002348423,2h-MeOH,Flagella,2020-08-28,,PAK flagella
99,A4,4+,plate,no 1°,+,0.057999998331069946,2h-MeOH,Pili,2020-08-28,0.0,PAK pili
103,A4,1+,liquid,no 1°,+,0.06340000033378601,2h-MeOH,Flagella,2020-08-28,,PAK flagella
114,A5,4+,plate,no 1°,+,0.0575999990105629,2h-MeOH,Pili,2020-08-28,1.0,PAK pili
118,A5,1+,liquid,no 1°,+,0.0625,2h-MeOH,Flagella,2020-08-28,,PAK flagella
129,A6,4+,plate,no 1°,+,0.05649999901652336,2h-MeOH,Pili,2020-08-28,2.0,PAK pili
133,A6,1+,liquid,no 1°,+,0.06390000134706497,2h-MeOH,Flagella,2020-08-28,,PAK flagella
144,A7,4+,liquid,no 1°,-,0.05700000002980232,2h-MeOH,Pili,2020-08-28,0.0,PAK pili
148,A7,2+,liquid,no 1°,-,0.06930000334978104,2h-MeOH,Flagella,2020-08-28,,PAO1 flagella
159,A8,4+,liquid,no 1°,-,0.05700000002980232,2h-MeOH,Pili,2020-08-28,1.0,PAK pili
163,A8,2+,liquid,no 1°,-,0.0640999972820282,2h-MeOH,Flagella,2020-08-28,,PAO1 flagella
174,A9,4+,liquid,no 1°,-,0.05939999967813492,2h-MeOH,Pili,2020-08-28,2.0,PAK pili
178,A9,2+,liquid,no 1°,-,0.07150000333786011,2h-MeOH,Flagella,2020-08-28,,PAO1 flagella
189,B1,4+,plate,1,-,0.11909999698400497,2h-MeOH,Pili,2020-08-28,0.0,PAK pili
193,B1,1+,liquid,3,-,0.18490000069141388,2h-MeOH,Flagella,2020-08-28,,PAK flagella
204,B10,4+,liquid,1,+,1.1186000108718872,2h-MeOH,Pili,2020-08-28,0.0,PAK pili
208,B10,2+,liquid,1,+,0.9567999839782715,2h-MeOH,Flagella,2020-08-28,,PAO1 flagella
219,B11,4+,liquid,1,+,1.0714000463485718,2h-MeOH,Pili,2020-08-28,1.0,PAK pili
223,B11,2+,liquid,1,+,1.0571000576019287,2h-MeOH,Flagella,2020-08-28,,PAO1 flagella
234,B12,4+,liquid,1,+,1.0183000564575195,2h-MeOH,Pili,2020-08-28,2.0,PAK pili
238,B12,2+,liquid,1,+,1.1030999422073364,2h-MeOH,Flagella,2020-08-28,,PAO1 flagella
249,B2,4+,plate,1,-,0.09830000251531601,2h-MeOH,Pili,2020-08-28,1.0,PAK pili
253,B2,1+,liquid,3,-,0.15530000627040863,2h-MeOH,Flagella,2020-08-28,,PAK flagella
264,B3,4+,plate,1,-,0.10719999670982361,2h-MeOH,Pili,2020-08-28,2.0,PAK pili
268,B3,1+,liquid,3,-,0.16259999573230743,2h-MeOH,Flagella,2020-08-28,,PAK flagella
