ID	run_id	guid
01-A1	20221208	G20221208_01-A1
01-A2	20221208	G20221208_01-A2
01-A3	20221208	G20221208_01-A3
01-A4	20221208	G20221208_01-A4
01-A5	20221208	G20221208_01-A5
01-A6	20221208	G20221208_01-A6
01-A7	20221208	G20221208_01-A7
01-A8	20221208	G20221208_01-A8
01-A9	20221208	G20221208_01-A9
01-A10	20221208	G20221208_01-A10
01-A11	20221208	G20221208_01-A11
01-A12	20221208	G20221208_01-A12
01-B1	20221208	G20221208_01-B1
01-B2	20221208	G20221208_01-B2
01-B3	20221208	G20221208_01-B3
01-C1	20221208	G20221208_01-C1
01-C2	20221208	G20221208_01-C2
01-C3	20221208	G20221208_01-C3
01-C4	20221208	G20221208_01-C4
01-C5	20221208	G20221208_01-C5
01-C6	20221208	G20221208_01-C6
01-C7	20221208	G20221208_01-C7
01-C8	20221208	G20221208_01-C8
01-C9	20221208	G20221208_01-C9
01-C10	20221208	G20221208_01-C10
01-C11	20221208	G20221208_01-C11
01-C12	20221208	G20221208_01-C12
01-D1	20221208	G20221208_01-D1
01-D2	20221208	G20221208_01-D2
01-D3	20221208	G20221208_01-D3
01-D4	20221208	G20221208_01-D4
01-D5	20221208	G20221208_01-D5
01-D6	20221208	G20221208_01-D6
01-D7	20221208	G20221208_01-D7
01-D8	20221208	G20221208_01-D8
01-D9	20221208	G20221208_01-D9
01-D10	20221208	G20221208_01-D10
01-D11	20221208	G20221208_01-D11
01-D12	20221208	G20221208_01-D12
01-E1	20221208	G20221208_01-E1
01-E2	20221208	G20221208_01-E2
01-E3	20221208	G20221208_01-E3
01-E4	20221208	G20221208_01-E4
01-E5	20221208	G20221208_01-E5
01-E6	20221208	G20221208_01-E6
01-E7	20221208	G20221208_01-E7
01-E8	20221208	G20221208_01-E8
01-E9	20221208	G20221208_01-E9
01-E10	20221208	G20221208_01-E10
01-E11	20221208	G20221208_01-E11
01-E12	20221208	G20221208_01-E12
01-F1	20221208	G20221208_01-F1
01-F2	20221208	G20221208_01-F2
01-F3	20221208	G20221208_01-F3
01-F4	20221208	G20221208_01-F4
01-F5	20221208	G20221208_01-F5
01-F6	20221208	G20221208_01-F6
01-F7	20221208	G20221208_01-F7
01-F8	20221208	G20221208_01-F8
01-F9	20221208	G20221208_01-F9
01-F10	20221208	G20221208_01-F10
01-F11	20221208	G20221208_01-F11
01-F12	20221208	G20221208_01-F12
01-G1	20221208	G20221208_01-G1
01-G2	20221208	G20221208_01-G2
01-G3	20221208	G20221208_01-G3
01-G4	20221208	G20221208_01-G4
01-G5	20221208	G20221208_01-G5
01-G6	20221208	G20221208_01-G6
01-G7	20221208	G20221208_01-G7
01-G8	20221208	G20221208_01-G8
01-G9	20221208	G20221208_01-G9
01-G10	20221208	G20221208_01-G10
01-G11	20221208	G20221208_01-G11
01-G12	20221208	G20221208_01-G12
01-H1	20221208	G20221208_01-H1
01-H2	20221208	G20221208_01-H2
01-H3	20221208	G20221208_01-H3
01-H4	20221208	G20221208_01-H4
01-H5	20221208	G20221208_01-H5
01-H6	20221208	G20221208_01-H6
01-H7	20221208	G20221208_01-H7
01-H8	20221208	G20221208_01-H8
01-H9	20221208	G20221208_01-H9
01-H10	20221208	G20221208_01-H10
01-H11	20221208	G20221208_01-H11
01-H12	20221208	G20221208_01-H12
02-A1	20221208	G20221208_02-A1
02-A2	20221208	G20221208_02-A2
02-A3	20221208	G20221208_02-A3
02-A4	20221208	G20221208_02-A4
02-A5	20221208	G20221208_02-A5
02-A6	20221208	G20221208_02-A6
02-A7	20221208	G20221208_02-A7
02-A8	20221208	G20221208_02-A8
02-A9	20221208	G20221208_02-A9
02-A10	20221208	G20221208_02-A10
02-A11	20221208	G20221208_02-A11
02-A12	20221208	G20221208_02-A12
02-B1	20221208	G20221208_02-B1
02-B2	20221208	G20221208_02-B2
02-B3	20221208	G20221208_02-B3
02-B4	20221208	G20221208_02-B4
02-B5	20221208	G20221208_02-B5
02-B6	20221208	G20221208_02-B6
02-B7	20221208	G20221208_02-B7
02-B8	20221208	G20221208_02-B8
02-B9	20221208	G20221208_02-B9
02-B10	20221208	G20221208_02-B10
02-B11	20221208	G20221208_02-B11
02-B12	20221208	G20221208_02-B12
02-C1	20221208	G20221208_02-C1
02-C4	20221208	G20221208_02-C4
02-C5	20221208	G20221208_02-C5
02-C6	20221208	G20221208_02-C6
02-C7	20221208	G20221208_02-C7
02-C8	20221208	G20221208_02-C8
02-C9	20221208	G20221208_02-C9
02-C10	20221208	G20221208_02-C10
02-C11	20221208	G20221208_02-C11
02-C12	20221208	G20221208_02-C12
02-D1	20221208	G20221208_02-D1
02-D2	20221208	G20221208_02-D2
02-D3	20221208	G20221208_02-D3
02-D4	20221208	G20221208_02-D4
02-D5	20221208	G20221208_02-D5
02-D7	20221208	G20221208_02-D7
02-D8	20221208	G20221208_02-D8
02-D9	20221208	G20221208_02-D9
02-D10	20221208	G20221208_02-D10
02-D11	20221208	G20221208_02-D11
02-D12	20221208	G20221208_02-D12
02-E1	20221208	G20221208_02-E1
02-E2	20221208	G20221208_02-E2
02-E3	20221208	G20221208_02-E3
02-E4	20221208	G20221208_02-E4
02-E5	20221208	G20221208_02-E5
02-E6	20221208	G20221208_02-E6
02-E7	20221208	G20221208_02-E7
02-E8	20221208	G20221208_02-E8
02-E9	20221208	G20221208_02-E9
02-E10	20221208	G20221208_02-E10
02-E11	20221208	G20221208_02-E11
02-E12	20221208	G20221208_02-E12
02-F1	20221208	G20221208_02-F1
02-F2	20221208	G20221208_02-F2
02-F3	20221208	G20221208_02-F3
02-F4	20221208	G20221208_02-F4
02-F5	20221208	G20221208_02-F5
02-F6	20221208	G20221208_02-F6
02-F7	20221208	G20221208_02-F7
02-F8	20221208	G20221208_02-F8
02-F9	20221208	G20221208_02-F9
02-F10	20221208	G20221208_02-F10
02-F11	20221208	G20221208_02-F11
02-F12	20221208	G20221208_02-F12
03-A2	20221208	G20221208_03-A2
03-A6	20221208	G20221208_03-A6
03-A7	20221208	G20221208_03-A7
03-A8	20221208	G20221208_03-A8
03-A9	20221208	G20221208_03-A9
03-A11	20221208	G20221208_03-A11
03-B1	20221208	G20221208_03-B1
03-B2	20221208	G20221208_03-B2
03-B3	20221208	G20221208_03-B3
03-B4	20221208	G20221208_03-B4
03-B5	20221208	G20221208_03-B5
03-B6	20221208	G20221208_03-B6
03-B7	20221208	G20221208_03-B7
03-B8	20221208	G20221208_03-B8
03-B9	20221208	G20221208_03-B9
03-B10	20221208	G20221208_03-B10
03-B11	20221208	G20221208_03-B11
03-B12	20221208	G20221208_03-B12
03-C1	20221208	G20221208_03-C1
03-C2	20221208	G20221208_03-C2
03-C3	20221208	G20221208_03-C3
03-C4	20221208	G20221208_03-C4
03-C5	20221208	G20221208_03-C5
03-C6	20221208	G20221208_03-C6
03-C7	20221208	G20221208_03-C7
03-C8	20221208	G20221208_03-C8
03-C9	20221208	G20221208_03-C9
03-C10	20221208	G20221208_03-C10
03-C12	20221208	G20221208_03-C12
03-D1	20221208	G20221208_03-D1
03-D2	20221208	G20221208_03-D2
03-D3	20221208	G20221208_03-D3
03-D4	20221208	G20221208_03-D4
03-D5	20221208	G20221208_03-D5
03-D6	20221208	G20221208_03-D6
03-D7	20221208	G20221208_03-D7
03-D8	20221208	G20221208_03-D8
03-D9	20221208	G20221208_03-D9
03-D10	20221208	G20221208_03-D10
03-D11	20221208	G20221208_03-D11
03-D12	20221208	G20221208_03-D12
03-E1	20221208	G20221208_03-E1
03-E2	20221208	G20221208_03-E2
03-E3	20221208	G20221208_03-E3
03-E4	20221208	G20221208_03-E4
03-E5	20221208	G20221208_03-E5
03-E6	20221208	G20221208_03-E6
03-E7	20221208	G20221208_03-E7
03-E8	20221208	G20221208_03-E8
03-E9	20221208	G20221208_03-E9
03-E11	20221208	G20221208_03-E11
03-E12	20221208	G20221208_03-E12
03-F1	20221208	G20221208_03-F1
03-F2	20221208	G20221208_03-F2
03-F3	20221208	G20221208_03-F3
03-F4	20221208	G20221208_03-F4
03-F5	20221208	G20221208_03-F5
03-F6	20221208	G20221208_03-F6
03-F7	20221208	G20221208_03-F7
03-F8	20221208	G20221208_03-F8
03-F9	20221208	G20221208_03-F9
03-F11	20221208	G20221208_03-F11
03-F12	20221208	G20221208_03-F12
04-A3	20221208	G20221208_04-A3
04-A6	20221208	G20221208_04-A6
04-A7	20221208	G20221208_04-A7
04-A11	20221208	G20221208_04-A11
04-A12	20221208	G20221208_04-A12
04-B2	20221208	G20221208_04-B2
04-B3	20221208	G20221208_04-B3
04-B4	20221208	G20221208_04-B4
04-B5	20221208	G20221208_04-B5
