plate	well	depth	expt	round	sample	phage_library	notes	ID
1	A1	1	027i	R5i	1.D7	Alpaca		01-A1
1	A2	1	027i	R5i	1.D8	Alpaca		01-A2
1	A3	1	027i	R5i	1.D9	Alpaca		01-A3
1	A4	1	027i	R5i	1.F1	Alpaca		01-A4
1	A5	1	027i	R5i	1.F2	Alpaca		01-A5
1	A6	1	027i	R5i	1.F3	Alpaca		01-A6
1	A7	1	027i	R5i	1.F4	Alpaca		01-A7
1	A8	1	027i	R5i	1.F5	Alpaca		01-A8
1	A9	1	027i	R5i	1.E9	Alpaca		01-A9
1	A10	1	027i	R5i	1.E10	Alpaca		01-A10
1	A11	1	027i	R5i	2.B4	Alpaca		01-A11
1	A12	1	027i	R5i	2.E10	Alpaca		01-A12
1	B1	1	027i	R5i	2.B11	Alpaca		01-B1
1	B2	1	027i	R5i	2.B12	Alpaca		01-B2
1	B3	1	027i	R5i	2.C1	Alpaca		01-B3
1	C1	1	027j	R5i	1.A1	Alpaca		01-C1
1	C2	1	027j	R5i	1.A2	Alpaca		01-C2
1	C3	1	027j	R5i	1.A3	Alpaca		01-C3
1	C4	1	027j	R5i	1.A4	Alpaca		01-C4
1	C5	1	027j	R5i	1.A5	Alpaca		01-C5
1	C6	1	027j	R5i	1.A6	Alpaca		01-C6
1	C7	1	027j	R5i	1.A7	Alpaca		01-C7
1	C8	1	027j	R5i	1.A8	Alpaca		01-C8
1	C9	1	027j	R5i	1.A9	Alpaca		01-C9
1	C10	1	027j	R5i	1.A10	Alpaca		01-C10
1	C11	1	027j	R5i	1.A11	Alpaca		01-C11
1	C12	1	027j	R5i	1.A12	Alpaca		01-C12
1	D1	1	027j	R5i	1.B1	Alpaca		01-D1
1	D2	1	027j	R5i	1.B2	Alpaca		01-D2
1	D3	1	027j	R5i	1.B3	Alpaca		01-D3
1	D4	1	027j	R5i	1.B4	Alpaca		01-D4
1	D5	1	027j	R5i	1.B5	Alpaca		01-D5
1	D6	1	027j	R5i	1.B6	Alpaca		01-D6
1	D7	1	027j	R5i	1.B7	Alpaca		01-D7
1	D8	1	027j	R5i	1.B8	Alpaca		01-D8
1	D9	1	027j	R5i	1.B9	Alpaca		01-D9
1	D10	1	027j	R5i	1.B10	Alpaca		01-D10
1	D11	1	027j	R5i	1.B11	Alpaca		01-D11
1	D12	1	027j	R5i	1.B12	Alpaca		01-D12
1	E1	1	027j	R5i	1.C1	Alpaca		01-E1
1	E2	1	027j	R5i	1.C2	Alpaca		01-E2
1	E3	1	027j	R5i	1.C3	Alpaca		01-E3
1	E4	1	027j	R5i	1.C4	Alpaca		01-E4
1	E5	1	027j	R5i	1.C5	Alpaca		01-E5
1	E6	1	027j	R5i	1.C6	Alpaca		01-E6
1	E7	1	027j	R5i	1.C7	Alpaca		01-E7
1	E8	1	027j	R5i	1.C8	Alpaca		01-E8
1	E9	1	027j	R5i	1.C9	Alpaca		01-E9
1	E10	1	027j	R5i	1.C10	Alpaca		01-E10
1	E11	1	027j	R5i	1.C11	Alpaca		01-E11
1	E12	1	027j	R5i	1.C12	Alpaca		01-E12
1	F1	1	027j	R6i	1.A1	Alpaca		01-F1
1	F2	1	027j	R6i	1.A2	Alpaca		01-F2
1	F3	1	027j	R6i	1.A3	Alpaca		01-F3
1	F4	1	027j	R6i	1.A4	Alpaca		01-F4
1	F5	1	027j	R6i	1.A5	Alpaca		01-F5
1	F6	1	027j	R6i	1.A6	Alpaca		01-F6
1	F7	1	027j	R6i	1.A7	Alpaca		01-F7
1	F8	1	027j	R6i	1.A8	Alpaca		01-F8
1	F9	1	027j	R6i	1.A9	Alpaca		01-F9
1	F10	1	027j	R6i	1.A10	Alpaca		01-F10
1	F11	1	027j	R6i	1.A11	Alpaca		01-F11
1	F12	1	027j	R6i	1.A12	Alpaca		01-F12
1	G1	1	027j	R6i	1.B1	Alpaca		01-G1
1	G2	1	027j	R6i	1.B2	Alpaca		01-G2
1	G3	1	027j	R6i	1.B3	Alpaca		01-G3
1	G4	1	027j	R6i	1.B4	Alpaca		01-G4
1	G5	1	027j	R6i	1.B5	Alpaca		01-G5
1	G6	1	027j	R6i	1.B6	Alpaca		01-G6
1	G7	1	027j	R6i	1.B7	Alpaca		01-G7
1	G8	1	027j	R6i	1.B8	Alpaca		01-G8
1	G9	1	027j	R6i	1.B9	Alpaca		01-G9
1	G10	1	027j	R6i	1.B10	Alpaca		01-G10
1	G11	1	027j	R6i	1.B11	Alpaca		01-G11
1	G12	1	027j	R6i	1.B12	Alpaca		01-G12
1	H1	1	027j	R6i	1.C1	Alpaca		01-H1
1	H2	1	027j	R6i	1.C2	Alpaca		01-H2
1	H3	1	027j	R6i	1.C3	Alpaca		01-H3
1	H4	1	027j	R6i	1.C4	Alpaca		01-H4
1	H5	1	027j	R6i	1.C5	Alpaca		01-H5
1	H6	1	027j	R6i	1.C6	Alpaca		01-H6
1	H7	1	027j	R6i	1.C7	Alpaca		01-H7
1	H8	1	027j	R6i	1.C8	Alpaca		01-H8
1	H9	1	027j	R6i	1.C9	Alpaca		01-H9
1	H10	1	027j	R6i	1.C10	Alpaca		01-H10
1	H11	1	027j	R6i	1.C11	Alpaca		01-H11
1	H12	1	027j	R6i	1.C12	Alpaca		01-H12
2	A1	1	027j	R7i	1.A1	Alpaca		02-A1
2	A2	1	027j	R7i	1.A2	Alpaca		02-A2
2	A3	1	027j	R7i	1.A3	Alpaca		02-A3
2	A4	1	027j	R7i	1.A4	Alpaca		02-A4
2	A5	1	027j	R7i	1.A5	Alpaca		02-A5
2	A6	1	027j	R7i	1.A6	Alpaca		02-A6
2	A7	1	027j	R7i	1.A7	Alpaca		02-A7
2	A8	1	027j	R7i	1.A8	Alpaca		02-A8
2	A9	1	027j	R7i	1.A9	Alpaca		02-A9
2	A10	1	027j	R7i	1.A10	Alpaca		02-A10
2	A11	1	027j	R7i	1.A11	Alpaca		02-A11
2	A12	1	027j	R7i	1.A12	Alpaca		02-A12
2	B1	1	027j	R7i	1.B1	Alpaca		02-B1
2	B2	1	027j	R7i	1.B2	Alpaca		02-B2
2	B3	1	027j	R7i	1.B3	Alpaca		02-B3
2	B4	1	027j	R7i	1.B4	Alpaca		02-B4
2	B5	1	027j	R7i	1.B5	Alpaca		02-B5
2	B6	1	027j	R7i	1.B6	Alpaca		02-B6
2	B7	1	027j	R7i	1.B7	Alpaca		02-B7
2	B8	1	027j	R7i	1.B8	Alpaca		02-B8
2	B9	1	027j	R7i	1.B9	Alpaca		02-B9
2	B10	1	027j	R7i	1.B10	Alpaca		02-B10
2	B11	1	027j	R7i	1.B11	Alpaca		02-B11
2	B12	1	027j	R7i	1.B12	Alpaca		02-B12
2	C1	1	027j	R7i	1.C1	Alpaca		02-C1
2	C4	1	027j	R7i	1.C4	Alpaca		02-C4
2	C5	1	027j	R7i	1.C5	Alpaca		02-C5
2	C6	1	027j	R7i	1.C6	Alpaca		02-C6
2	C7	1	027j	R7i	1.C7	Alpaca		02-C7
2	C8	1	027j	R7i	1.C8	Alpaca		02-C8
2	C9	1	027j	R7i	1.C9	Alpaca		02-C9
2	C10	1	027j	R7i	1.C10	Alpaca		02-C10
2	C11	1	027j	R7i	1.C11	Alpaca		02-C11
2	C12	1	027j	R7i	1.C12	Alpaca		02-C12
2	D1	1	027j	R7i	1.E1	Alpaca		02-D1
2	D2	1	027j	R7i	1.E2	Alpaca		02-D2
2	D3	1	027j	R7i	1.E3	Alpaca		02-D3
2	D4	1	027j	R7i	1.E4	Alpaca		02-D4
2	D5	1	027j	R7i	1.E5	Alpaca		02-D5
2	D7	1	027j	R7i	1.E7	Alpaca		02-D7
2	D8	1	027j	R7i	1.E8	Alpaca		02-D8
2	D9	1	027j	R7i	1.E9	Alpaca		02-D9
2	D10	1	027j	R7i	1.E10	Alpaca		02-D10
2	D11	1	027j	R7i	1.E11	Alpaca		02-D11
2	D12	1	027j	R7i	1.E12	Alpaca		02-D12
2	E1	1	027j	R7i	1.F1	Alpaca		02-E1
2	E2	1	027j	R7i	1.F2	Alpaca		02-E2
2	E3	1	027j	R7i	1.F3	Alpaca		02-E3
2	E4	1	027j	R7i	1.F4	Alpaca		02-E4
2	E5	1	027j	R7i	1.F5	Alpaca		02-E5
2	E6	1	027j	R7i	1.F6	Alpaca		02-E6
2	E7	1	027j	R7i	1.F7	Alpaca		02-E7
2	E8	1	027j	R7i	1.F8	Alpaca		02-E8
2	E9	1	027j	R7i	1.F9	Alpaca		02-E9
2	E10	1	027j	R7i	1.F10	Alpaca		02-E10
2	E11	1	027j	R7i	1.F11	Alpaca		02-E11
2	E12	1	027j	R7i	1.F12	Alpaca		02-E12
2	F1	1	027j	R7i	1.G1	Alpaca		02-F1
2	F2	1	027j	R7i	1.G2	Alpaca		02-F2
2	F3	1	027j	R7i	1.G3	Alpaca		02-F3
2	F4	1	027j	R7i	1.G4	Alpaca		02-F4
2	F5	1	027j	R7i	1.G5	Alpaca		02-F5
2	F6	1	027j	R7i	1.G6	Alpaca		02-F6
2	F7	1	027j	R7i	1.G7	Alpaca		02-F7
2	F8	1	027j	R7i	1.G8	Alpaca		02-F8
2	F9	1	027j	R7i	1.G9	Alpaca		02-F9
2	F10	1	027j	R7i	1.G10	Alpaca		02-F10
2	F11	1	027j	R7i	1.G11	Alpaca		02-F11
2	F12	1	027j	R7i	1.G12	Alpaca		02-F12
3	A2	1	027j	R8i	1.A2	Alpaca		03-A2
3	A6	1	027j	R8i	1.A6	Alpaca		03-A6
3	A7	1	027j	R8i	1.A7	Alpaca		03-A7
3	A8	1	027j	R8i	1.A8	Alpaca		03-A8
3	A9	1	027j	R8i	1.A9	Alpaca		03-A9
3	A11	1	027j	R8i	1.A11	Alpaca		03-A11
3	B1	1	027j	R8i	1.B1	Alpaca		03-B1
3	B2	1	027j	R8i	1.B2	Alpaca		03-B2
3	B3	1	027j	R8i	1.B3	Alpaca		03-B3
3	B4	1	027j	R8i	1.B4	Alpaca		03-B4
3	B5	1	027j	R8i	1.B5	Alpaca		03-B5
3	B6	1	027j	R8i	1.B6	Alpaca		03-B6
3	B7	1	027j	R8i	1.B7	Alpaca		03-B7
3	B8	1	027j	R8i	1.B8	Alpaca		03-B8
3	B9	1	027j	R8i	1.B9	Alpaca		03-B9
3	B10	1	027j	R8i	1.B10	Alpaca		03-B10
3	B11	1	027j	R8i	1.B11	Alpaca		03-B11
3	B12	1	027j	R8i	1.B12	Alpaca		03-B12
3	C1	1	027j	R8i	1.C1	Alpaca		03-C1
3	C2	1	027j	R8i	1.C2	Alpaca		03-C2
3	C3	1	027j	R8i	1.C3	Alpaca		03-C3
