well_027e,sel_plate,sel_well,expt,selection,category,antigen,genotype_pair,genotype_CS,background_CS,strain_CS,loc_CS,cond_CS,genotype_S,background_S,strain_S,loc_S,cond_S,cond_notes,bflm,swim,twitch,swarm,PMB-R,FEP-R,TET-R,CIP-R,CHL-R,GEN-R,ERY-R,IPM-R,cdiGMP,FliC,FliCa,FliCb,FlgEHKL,PilQ,PilA,PilB,LasA,LasB,Apr,XcpQ,ToxA,EstA,LepA,PlpD,Phz,Pcn,Pvd,Hcn,Rhl,T3SS,T6SS,Pel,Psl,CdrB,SCV,Mucoid,Alginate,OprM,OprJ,OprN,OprOP,OpdH,OprD,OprL,OprF,OprG,OprH,OprB,MexAB,MexCD,MexEF,MexJK,MexXY,MexGHI,PirA,Pfu,TonB,FptA,FpvA,PfeA,CupB5,CupA,CupB,CupC,CupD,LPS-LipidA-Palmitoyl,L-LipidA-Ara4N,LPS-CPA,LPS-OSA,LPS-galU,LPS-rough,LPS
E9,1,A1,027i,1.A1,QS,pleotropic,lasR/WT,∆lasR,PA14,1264,,stationary,WT,PA14,430,,stationary,"LasR is a major QS response regulator; LasR binds the HSL QS signal OdDHL (aka PAI) and transcriptionally activates virulence factors LasA protease, LasB elastase, Apr alkaline protease, ToxA; LasR/OdDHL also activates other QS systems: IqsRI, RhlRI, PqsRABCD [@Lee:2015bh]",,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10,1,A2,027i,1.A2,QS,pleotropic,WT/lasR,WT,PA14,430,,stationary,∆lasR,PA14,1264,,stationary,"LasR is a major QS response regulator; LasR binds the HSL QS signal OdDHL (aka PAI) and transcriptionally activates virulence factors LasA protease, LasB elastase, Apr alkaline protease; LasR/OdDHL also activates other QS systems: IqsRI, RhlRI, PqsRABCD [@Lee:2015bh]",,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11,1,A3,027i,1.A3,QS,pleotropic,rhlR/WT,rhlR::Tn,PA14,NR_37943,No grow 3	G9,stationary,WT,PA14,430,,stationary,"RhlR is a major QS response regulator; RhlR binds the HSL QS signal BHL and activates LasB elastase, RhlAB rhamnolipids, Phz pyocyanin, Hcn hydrogen cyanide synthase[@Lee:2015bh]",,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,1,A4,027i,1.A4,QS,pleotropic,WT/rhlR,WT,PA14,430,,stationary,rhlR::Tn,PA14,NR_37943,No grow 3	G9,stationary,"RhlR is a major QS response regulator; RhlR binds the HSL QS signal BHL and activates LasB elastase, RhlAB rhamnolipids, Phz pyocyanin, Hcn hydrogen cyanide synthase[@Lee:2015bh]",,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,-1.0,-1.0,,-1.0,-1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,1,A5,027i,1.A5,QS,pleotropic,qscR/WT,qscR::Tn,PA14,NR_42798,10-3	E8,stationary,WT,PA14,430,,stationary,"QscR is an anti-activator of LasR; forms complexes with LasR/OdDHL (PAI) and RhlR/BHL, reducing their transcriptional activity. QscR/OdDHL also activates its own regulon. [@Lee:2015bh]",,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,,-1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,1,A6,027i,1.A6,QS,pleotropic,WT/qscR,WT,PA14,430,,stationary,qscR::Tn,PA14,NR_42798,10-3	E8,stationary,"QscR is an anti-activator of LasR; forms complexes with LasR/OdDHL (PAI) and RhlR/BHL, reducing their transcriptional activity. QscR/OdDHL also activates its own regulon. [@Lee:2015bh]",,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,A7,027i,1.A7,secretion,T2SS secreton and products,xcpQ/WT,xcpQ::Tn,PA14,NR_26075,2-2	H7,stationary,WT,PA14,430,,stationary,"XcpQ is the secretin for the Xcp T2SS; Xcp secretes: chitin binding protein CbpD, protein-elastase LasA and LasB, lipases LipA and LipC, lipooxygenase LoxA, aminopeptidase PaAP, alkaline phosphatase PhoA; phospholipases PlcB, PlcH, PlcN; protease PmpA, protease PrpL, and ToxA [@Filloux:2011dl]. Xcp is induced by LasR, e.g. in stationary phase [@ChaponHerve:1997il] ",,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,A8,027i,1.A8,secretion,T2SS secreton and products,xcpQ/WT,xcpQ::Tn,PA14,NR_41108,9-3	H12,stationary,WT,PA14,430,,stationary,see 1-A7,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,A9,027i,1.A9,secretion,T2SS secreton,xcpQ/xcpR,xcpQ::Tn,PA14,NR_26075,2-2	H7,stationary,xcpR::Tn,PA14,NR_48371,12-3	C4,stationary,"XcpR is the ATPase for the Xcp T2SS [@Douzi:2012bv], necessary for translocation of products but not for assembly of secretin at OM",,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,1.0,-1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,A10,027i,1.A10,secretion,T2SS secreton,xcpQ/xcpR,xcpQ::Tn,PA14,NR_41108,9-3	H12,stationary,xcpR::Tn,PA14,NR_48371,12-3	C4,stationary,see 1-A9,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,1.0,-1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
