plate	well	depth	expt	round	sample	phage_library	notes	ID
1	A3	1.0	027i	R2i	1+.A3	alpaca		01-A3
1	A4	1.0	027i	R2i	1+.A4	alpaca		01-A4
1	A5	1.0	027i	R2i	1+.A5	alpaca		01-A5
1	A6	1.0	027i	R2i	1+.A6	alpaca		01-A6
1	A7	1.0	027i	R2i	1+.A7	alpaca		01-A7
1	A8	1.0	027i	R2i	1+.A8	alpaca		01-A8
1	A9	1.0	027i	R2i	1+.A9	alpaca		01-A9
1	A10	1.0	027i	R2i	1+.A10	alpaca		01-A10
1	A11	1.0	027i	R2i	1+.A11	alpaca		01-A11
1	A12	1.0	027i	R2i	1+.A12	alpaca		01-A12
1	B2	1.0	027i	R2i	1+.B2	alpaca		01-B2
1	B3	1.0	027i	R2i	1+.B3	alpaca		01-B3
1	B4	1.0	027i	R2i	1+.B4	alpaca		01-B4
1	B6	1.0	027i	R2i	1+.B6	alpaca		01-B6
1	B7	1.0	027i	R2i	1+.B7	alpaca		01-B7
1	B8	1.0	027i	R2i	1+.B8	alpaca		01-B8
1	B9	1.0	027i	R2i	1+.B9	alpaca		01-B9
1	B10	1.0	027i	R2i	1+.B10	alpaca		01-B10
1	B11	1.0	027i	R2i	1+.B11	alpaca		01-B11
1	B12	1.0	027i	R2i	1+.B12	alpaca		01-B12
1	C3	1.0	027i	R2i	1+.C3	alpaca		01-C3
1	C4	1.0	027i	R2i	1+.C4	alpaca		01-C4
1	C5	1.0	027i	R2i	1+.C5	alpaca		01-C5
1	C6	1.0	027i	R2i	1+.C6	alpaca		01-C6
1	C7	1.0	027i	R2i	1+.C7	alpaca		01-C7
1	C8	1.0	027i	R2i	1+.C8	alpaca		01-C8
1	C9	1.0	027i	R2i	1+.C9	alpaca		01-C9
1	C10	1.0	027i	R2i	1+.C10	alpaca		01-C10
1	C11	1.0	027i	R2i	1+.C11	alpaca		01-C11
1	C12	1.0	027i	R2i	1+.C12	alpaca		01-C12
1	D1	1.0	027i	R2i	1+.D1	alpaca		01-D1
1	D2	1.0	027i	R2i	1+.D2	alpaca		01-D2
1	D3	1.0	027i	R2i	1+.D3	alpaca		01-D3
1	D4	1.0	027i	R2i	1+.D4	alpaca		01-D4
1	D5	1.0	027i	R2i	1+.D5	alpaca		01-D5
1	D6	1.0	027i	R2i	1+.D6	alpaca		01-D6
1	D7	1.0	027i	R2i	1+.D7	alpaca		01-D7
1	D8	1.0	027i	R2i	1+.D8	alpaca		01-D8
1	D9	1.0	027i	R2i	1+.D9	alpaca		01-D9
1	D10	1.0	027i	R2i	1+.D10	alpaca		01-D10
1	D11	1.0	027i	R2i	1+.D11	alpaca		01-D11
1	D12	1.0	027i	R2i	1+.D12	alpaca		01-D12
1	E1	1.0	027i	R2i	1+.E1	alpaca		01-E1
1	E2	1.0	027i	R2i	1+.E2	alpaca		01-E2
1	E3	1.0	027i	R2i	1+.E3	alpaca		01-E3
1	E4	1.0	027i	R2i	1+.E4	alpaca		01-E4
1	E5	1.0	027i	R2i	1+.E5	alpaca		01-E5
1	E6	1.0	027i	R2i	1+.E6	alpaca		01-E6
1	E7	1.0	027i	R2i	1+.E7	alpaca		01-E7
1	E8	1.0	027i	R2i	1+.E8	alpaca		01-E8
1	E9	1.0	027i	R2i	1+.E9	alpaca		01-E9
1	E10	1.0	027i	R2i	1+.E10	alpaca		01-E10
1	E11	1.0	027i	R2i	1+.E11	alpaca		01-E11
1	F1	1.0	027i	R2i	1+.F1	alpaca		01-F1
1	F2	1.0	027i	R2i	1+.F2	alpaca		01-F2
1	F3	1.0	027i	R2i	1+.F3	alpaca		01-F3
1	F4	1.0	027i	R2i	1+.F4	alpaca		01-F4
1	F5	1.0	027i	R2i	1+.F5	alpaca		01-F5
1	F6	1.0	027i	R2i	1+.F6	alpaca		01-F6
1	F7	1.0	027i	R2i	1+.F7	alpaca		01-F7
1	F8	1.0	027i	R2i	1+.F8	alpaca		01-F8
1	F9	1.0	027i	R2i	1+.F9	alpaca		01-F9
1	F10	1.0	027i	R2i	1+.F10	alpaca		01-F10
1	F11	1.0	027i	R2i	1+.F11	alpaca		01-F11
1	F12	1.0	027i	R2i	1+.F12	alpaca		01-F12
1	G1	1.0	027i	R2i	1+.G1	alpaca		01-G1
1	G2	1.0	027i	R2i	1+.G2	alpaca		01-G2
1	G3	1.0	027i	R2i	1+.G3	alpaca		01-G3
1	G4	1.0	027i	R2i	1+.G4	alpaca		01-G4
1	G5	1.0	027i	R2i	1+.G5	alpaca		01-G5
1	G6	1.0	027i	R2i	1+.G6	alpaca		01-G6
1	G7	1.0	027i	R2i	1+.G7	alpaca		01-G7
1	G8	1.0	027i	R2i	1+.G8	alpaca		01-G8
1	G9	1.0	027i	R2i	1+.G9	alpaca		01-G9
1	G10	1.0	027i	R2i	1+.G10	alpaca		01-G10
1	G11	1.0	027i	R2i	1+.G11	alpaca		01-G11
1	G12	1.0	027i	R2i	1+.G12	alpaca		01-G12
1	H1	1.0	027i	R2i	1+.H1	alpaca		01-H1
1	H2	1.0	027i	R2i	1+.H2	alpaca		01-H2
1	H3	1.0	027i	R2i	1+.H3	alpaca		01-H3
1	H4	1.0	027i	R2i	1+.H4	alpaca		01-H4
