plate	well	depth	expt	round	sample	phage_library	notes	ID
1	C9	1	027j	R5i	1.A9	Alpaca		01-C9
1	D9	1	027j	R5i	1.B9	Alpaca		01-D9
1	E9	1	027j	R5i	1.C9	Alpaca		01-E9
1	F9	1	027j	R6i	1.A9	Alpaca		01-F9
1	G9	1	027j	R6i	1.B9	Alpaca		01-G9
1	H9	1	027j	R6i	1.C9	Alpaca		01-H9
2	A9	1	027j	R7i	1.A9	Alpaca		02-A9
2	B9	1	027j	R7i	1.B9	Alpaca		02-B9
2	C9	1	027j	R7i	1.C9	Alpaca		02-C9
3	A9	1	027j	R8i	1.A9	Alpaca		03-A9
3	B9	1	027j	R8i	1.B9	Alpaca		03-B9
3	C9	1	027j	R8i	1.C9	Alpaca		03-C9
1	C2	1	027j	R5i	1.A2	Alpaca		01-C2
1	F2	1	027j	R6i	1.A2	Alpaca		01-F2
2	A2	1	027j	R7i	1.A2	Alpaca		02-A2
3	A2	1	027j	R8i	1.A2	Alpaca		03-A2
1	D2	1	027j	R5i	1.B2	Alpaca		01-D2
1	G2	1	027j	R6i	1.B2	Alpaca		01-G2
2	B2	1	027j	R7i	1.B2	Alpaca		02-B2
3	B2	1	027j	R8i	1.B2	Alpaca		03-B2
1	E2	1	027j	R5i	1.C2	Alpaca		01-E2
1	H2	1	027j	R6i	1.C2	Alpaca		01-H2
3	C2	1	027j	R8i	1.C2	Alpaca		03-C2
7	A1	1	027j	R7i	1.C2	Alpaca		07-A1
7	C4	1	027j.lib	R1i	P2	Alpaca		07-C4
7	C5	1	027j.lib	R1i	P2	Alpaca		07-C5
7	C6	1	027j.lib	R1i	P2	Alpaca		07-C6
