plate	well	depth	expt	round	sample	phage_library	notes	ID	r	io	kind	selection	replicate	name_full	name	method	genotype_CS	background_CS	strain_CS	genotype_S	background_S	strain_S	bio_Notes	category	antigen	genotype_pair	gene_CS	gene_S	notebook	description
1	A1	1	027e	R2i	A1	Synthetic	NA	01-A1	2	i	+	A1	1	027e.A1.1.R2i	027e.A1.1	cell_arrayed	∆exsA	PA14	1285	∆exsD	PA14	1276	NA	secretion	T3SS	exsA/exsD	exsA	exsD	NA	PA14 ∆exsA / PA14 ∆exsD
1	A3	1	027e	R2i	A3	Synthetic	NA	01-A3	2	i	+	A3	1	027e.A3.1.R2i	027e.A3.1	cell_arrayed	∆PA103_4856	PA103	47	WT	PA103	209	NA	regulator	pleotropic	retS/WT	retS	WT	NA	PA103 ∆PA103_4856 / PA103 WT
1	A4	1	027e	R2i	A4	Synthetic	NA	01-A4	2	i	+	A4	1	027e.A4.1.R2i	027e.A4.1	cell_arrayed	∆PA103_4856	PA103	47	WT	PA103	209	NA	regulator	pleotropic	retS/WT	retS	WT	NA	PA103 ∆PA103_4856 / PA103 WT
1	A10	1	027e	R2i	A10	Synthetic	NA	01-A10	2	i	+	A10	1	027e.A10.1.R2i	027e.A10.1	cell_arrayed	WT	PA14	430	tn::PA14_52260	PA14	NR_47013	NA	regulator	pleotropic	WT/gacS	WT	gacS	NA	PA14 WT / PA14 tn::PA14_52260
1	A11	1	027e	R2i	A11	Synthetic	NA	01-A11	2	i	+	A11	1	027e.A11.1.R2i	027e.A11.1	cell_arrayed	WT	PA103	209	fleQ(V240G)	PA103	979	NA	motility	flagellum	WT/fleQ_PA103(V240G)	WT	fleQ_PA103(V240G)	NA	PA103 WT / PA103 fleQ(V240G)
1	A12	1	027e	R2i	A12	Synthetic	NA	01-A12	2	i	+	A12	1	027e.A12.1.R2i	027e.A12.1	cell_arrayed	tn::fleQ	PA14	NR_24554	WT	PA14	430	NA	motility	flagellum	fleQ/WT	fleQ	WT	NA	PA14 tn::fleQ / PA14 WT
1	B1	1	027e	R2i	B1	Synthetic	NA	01-B1	2	i	+	B1	1	027e.B1.1.R2i	027e.B1.1	cell_arrayed	WT	PAK	517	∆fleN	PAK	1299	NA	motility	flagellum	WT/fleN	WT	fleN	NA	PAK WT / PAK ∆fleN
1	B2	1	027e	R2i	B2	Synthetic	NA	01-B2	2	i	+	B2	1	027e.B2.1.R2i	027e.B2.1	cell_arrayed	WT	PA14	430	tn::fleN	PA14	NR_25096	NA	motility	flagellum	WT/fleN	WT	fleN	NA	PA14 WT / PA14 tn::fleN
1	B3	1	027e	R2i	B3	Synthetic	NA	01-B3	2	i	+	B3	1	027e.B3.1.R2i	027e.B3.1	cell_arrayed	tn::fleQ	PA14	NR_24554	tn::fleN	PA14	NR_25096	NA	motility	flagellum	fleQ/fleN	fleQ	fleN	NA	PA14 tn::fleQ / PA14 tn::fleN
1	B4	1	027e	R2i	B4	Synthetic	NA	01-B4	2	i	+	B4	1	027e.B4.1.R2i	027e.B4.1	cell_arrayed	tn::fleQ	PA14	NR_24554	tn::fleN	PA14	NR_25096	possibly contaminated	motility	flagellum	fleQ/fleN	fleQ	fleN	NA	PA14 tn::fleQ / PA14 tn::fleN
