plate	well	depth	expt	round	sample	phage_library	notes	ID
1	A1	1.0	027e	R2i	A1	Synthetic		01-A1
1	A3	1.0	027e	R2i	A3	Synthetic		01-A3
1	A4	1.0	027e	R2i	A4	Synthetic		01-A4
1	A10	1.0	027e	R2i	A10	Synthetic		01-A10
1	A11	1.0	027e	R2i	A11	Synthetic		01-A11
1	A12	1.0	027e	R2i	A12	Synthetic		01-A12
1	B1	1.0	027e	R2i	B1	Synthetic		01-B1
1	B2	1.0	027e	R2i	B2	Synthetic		01-B2
1	B3	1.0	027e	R2i	B3	Synthetic		01-B3
1	B4	1.0	027e	R2i	B4	Synthetic		01-B4
1	B5	1.0	027e	R2i	B5	Synthetic		01-B5
1	B6	1.0	027e	R2i	B6	Synthetic		01-B6
1	B7	1.0	027e	R2i	B7	Synthetic		01-B7
1	B8	1.0	027e	R2i	B8	Synthetic		01-B8
1	B9	1.0	027e	R2i	B9	Synthetic		01-B9
1	B10	1.0	027e	R2i	B10	Synthetic		01-B10
1	B11	1.0	027e	R2i	B11	Synthetic		01-B11
1	B12	1.0	027e	R2i	B12	Synthetic		01-B12
1	C1	1.0	027e	R2i	C1	Synthetic		01-C1
1	C2	1.0	027e	R2i	C2	Synthetic		01-C2
1	C3	1.0	027e	R2i	C3	Synthetic		01-C3
1	C4	1.0	027e	R2i	C4	Synthetic		01-C4
1	C5	1.0	027e	R2i	C5	Synthetic		01-C5
1	C6	1.0	027e	R2i	C6	Synthetic		01-C6
1	C7	1.0	027e	R2i	C7	Synthetic		01-C7
1	C8	1.0	027e	R2i	C8	Synthetic		01-C8
1	C9	1.0	027e	R2i	C9	Synthetic		01-C9
1	C10	1.0	027e	R2i	C10	Synthetic		01-C10
1	C11	1.0	027e	R2i	C11	Synthetic		01-C11
1	C12	1.0	027e	R2i	C12	Synthetic		01-C12
1	D1	1.0	027e	R2i	D1	Synthetic		01-D1
1	D2	1.0	027e	R2i	D2	Synthetic		01-D2
1	D3	1.0	027e	R2i	D3	Synthetic		01-D3
1	D4	1.0	027e	R2i	D4	Synthetic		01-D4
1	D6	1.0	027e	R2i	D6	Synthetic		01-D6
1	D7	1.0	027e	R2i	D7	Synthetic		01-D7
1	D8	1.0	027e	R2i	D8	Synthetic		01-D8
1	D9	1.0	027e	R2i	D9	Synthetic		01-D9
1	D10	1.0	027e	R2i	D10	Synthetic		01-D10
1	D11	1.0	027e	R2i	D11	Synthetic		01-D11
1	D12	1.0	027e	R2i	D12	Synthetic		01-D12
1	E1	1.0	027e	R2i	E1	Synthetic		01-E1
1	E2	1.0	027e	R2i	E2	Synthetic		01-E2
1	E3	1.0	027e	R2i	E3	Synthetic		01-E3
1	E4	1.0	027e	R2i	E4	Synthetic		01-E4
1	E5	1.0	027e	R2i	E5	Synthetic		01-E5
1	E6	1.0	027e	R2i	E6	Synthetic		01-E6
1	E7	1.0	027e	R2i	E7	Synthetic		01-E7
1	E8	1.0	027e	R2i	E8	Synthetic		01-E8
1	E9	1.0	027e	R2i	E9	Synthetic		01-E9
1	E10	1.0	027e	R2i	E10	Synthetic		01-E10
1	E11	1.0	027e	R2i	E11	Synthetic		01-E11
1	E12	1.0	027e	R2i	E12	Synthetic		01-E12
1	F1	1.0	027e	R2i	F1	Synthetic		01-F1
1	F2	1.0	027e	R2i	F2	Synthetic		01-F2
1	F3	1.0	027e	R2i	F3	Synthetic		01-F3
1	F4	1.0	027e	R2i	F4	Synthetic		01-F4
1	F5	1.0	027e	R2i	F5	Synthetic		01-F5
1	F6	1.0	027e	R2i	F6	Synthetic		01-F6
1	F7	1.0	027e	R2i	F7	Synthetic		01-F7
1	F8	1.0	027e	R2i	F8	Synthetic		01-F8
1	F10	1.0	027e	R2i	F10	Synthetic		01-F10
1	F11	1.0	027e	R2i	F11	Synthetic		01-F11
1	F12	1.0	027e	R2i	F12	Synthetic		01-F12
1	G1	1.0	027e	R2i	G1	Synthetic		01-G1
1	G2	1.0	027e	R2i	G2	Synthetic		01-G2
1	G3	1.0	027e	R2i	G3	Synthetic		01-G3
1	G4	1.0	027e	R2i	G4	Synthetic		01-G4
1	G5	1.0	027e	R2i	G5	Synthetic		01-G5
1	G6	1.0	027e	R2i	G6	Synthetic		01-G6
1	G7	1.0	027e	R2i	G7	Synthetic		01-G7
1	G8	1.0	027e	R2i	G8	Synthetic		01-G8
1	G9	1.0	027e	R2i	G9	Synthetic		01-G9
1	G10	1.0	027e	R2i	G10	Synthetic		01-G10
1	G11	1.0	027e	R2i	G11	Synthetic		01-G11
1	G12	1.0	027e	R2i	G12	Synthetic		01-G12
1	H1	1.0	027e	R2i	H1	Synthetic		01-H1
1	H3	1.0	027e	R2i	H3	Synthetic		01-H3
1	H4	1.0	027e	R2i	H4	Synthetic		01-H4
1	H5	1.0	027e	R2i	H5	Synthetic		01-H5
1	H6	1.0	027e	R2i	H6	Synthetic		01-H6
1	H7	1.0	027e	R2i	H7	Synthetic		01-H7
1	H8	1.0	027e	R2i	H8	Synthetic		01-H8
1	H9	1.0	027e	R2i	H9	Synthetic		01-H9
1	H10	1.0	027e	R2i	H10	Synthetic		01-H10
1	H11	1.0	027e	R2i	H11	Synthetic		01-H11
1	H12	1.0	027e	R2i	H12	Synthetic		01-H12
2	A1	1.0	027e	R3i	A1	Synthetic		02-A1
2	A2	1.0	027e	R3i	A2	Synthetic		02-A2
2	A3	1.0	027e	R3i	A3	Synthetic		02-A3
2	A4	1.0	027e	R3i	A4	Synthetic		02-A4
2	A5	1.0	027e	R3i	A5	Synthetic		02-A5
2	A6	1.0	027e	R3i	A6	Synthetic		02-A6
2	A7	1.0	027e	R3i	A7	Synthetic		02-A7
2	A8	1.0	027e	R3i	A8	Synthetic		02-A8
2	A9	1.0	027e	R3i	A9	Synthetic		02-A9
2	A10	1.0	027e	R3i	A10	Synthetic		02-A10
2	A11	1.0	027e	R3i	A11	Synthetic		02-A11
2	A12	1.0	027e	R3i	A12	Synthetic		02-A12
2	B1	1.0	027e	R3i	B1	Synthetic		02-B1
2	B2	1.0	027e	R3i	B2	Synthetic		02-B2
2	B3	1.0	027e	R3i	B3	Synthetic		02-B3
2	B4	1.0	027e	R3i	B4	Synthetic		02-B4
2	B5	1.0	027e	R3i	B5	Synthetic		02-B5
2	B6	1.0	027e	R3i	B6	Synthetic		02-B6
2	B7	1.0	027e	R3i	B7	Synthetic		02-B7
2	B8	1.0	027e	R3i	B8	Synthetic		02-B8
2	B9	1.0	027e	R3i	B9	Synthetic		02-B9
2	B10	1.0	027e	R3i	B10	Synthetic		02-B10
2	B11	1.0	027e	R3i	B11	Synthetic		02-B11
2	B12	1.0	027e	R3i	B12	Synthetic		02-B12
